listing_id,platform,title,price_raw,condition,seller_name,url
ebay_au:267631290423,EBAY_AU,"HP ZBook Power 16 G11 Workstation 16"" WUXGA Touch Ultra 9 185H 64GB RAM 2TB SSD","AU $4,799.00",,un-tech,https://www.ebay.com.au/itm/267631290423
ebay_au:267691382054,EBAY_AU,"Gigabyte Aorus Master 18"" U9 275HX RTX 5090 32GB 2TB QHD 240Hz Mini LED Laptop","AU $5,205.52*",Used,geoff_lee367,https://www.ebay.com.au/itm/267691382054
ebay_au:236740339258,EBAY_AU,"ASUS ROG ZEPHYRUS DUO 16.0"" LAPTOP RYZEN 7 6800H 3.20GHz RTX-3070Ti 32GB 512GB","AU $2,311.20*",Used,faieq32,https://www.ebay.com.au/itm/236740339258
ebay_au:178206278028,EBAY_AU,"Asus ROG G635LW Strix Scar 16 Ultra 9 275HX 32GB RAM 1TB SSD RTX5080 16"" 2.5K","AU $4,227.50",,treasure_pc_online,https://www.ebay.com.au/itm/178206278028
ebay_au:198170918806,EBAY_AU,Dell Precision 7750 Laptop 17.3” 32GB RAM |  1 TB SSD | 16GB GPU,"AU $1,200.00",Used,zinc_techno,https://www.ebay.com.au/itm/198170918806
ebay_au:267696137396,EBAY_AU,MSI Raider GE78HX i9 13980HX RTX 4090 32GB 2TB QHD 240Hz Gaming Laptop,"AU $3,469.70*",Used,geoff_lee367,https://www.ebay.com.au/itm/267696137396
ebay_au:800005839650,EBAY_AU,"Acer Predator Helios Neo 18 AI - 18.0"" Intel Core Ultra 9 275HX - GeForce RTX 50","AU $3,640.74*",Brand New,newegg,https://www.ebay.com.au/itm/800005839650
ebay_au:278082458240,EBAY_AU,Lenovo ThinkPad P15 Gen 2 FHD i7-11800H 2.30GHz 32GB 1TB SSD RTX A4000 Very Good,"AU $1,427.73*",Very Good - Refurbished,itsworthmore,https://www.ebay.com.au/itm/278082458240
ebay_au:236876060237,EBAY_AU,LENOVO THINKPAD P16 | CORE i9 | RTX A4500 GFX | 64GB | 2TB | 3840x2400 | WRNTY,"AU $3,728.01*",Very Good - Refurbished,bit-by-bit-electronics,https://www.ebay.com.au/itm/236876060237
ebay_au:397837419713,EBAY_AU,"ASUS ROG Zephyrus duo 16"" QHD 240Hz Gaming Laptop Ryzen 9 32GB 1TB SSD RTX 4080","AU $2,974.70",Used,eversmen,https://www.ebay.com.au/itm/397837419713
ebay_au:366348476692,EBAY_AU,"HP OMEN MAX Gaming Laptop16"" OLED Ultra 9 275HX 32GB 1TB SSD RTX5080","AU $4,799.00",Brand New,hp_official,https://www.ebay.com.au/itm/366348476692
ebay_au:278093444445,EBAY_AU,"Acer Predator Helios Neo 18 "" 250hz U9 16gb Ddr5 1tb SSD RTX 5070 8gb W11 Pro _","AU $3,551.00",,simpletek-italia,https://www.ebay.com.au/itm/278093444445
